time_s,displacement_m
2.544671164772727145e-01,7.954381932107282695e-05
2.544898011363636581e-01,7.625680233520101391e-05
2.545124715909091173e-01,7.286954760362140710e-05
2.545351420454545210e-01,6.943673026035647520e-05
2.545578267045454646e-01,6.597787713898562584e-05
2.545804971590909238e-01,6.254636158462596339e-05
2.546031818181818118e-01,5.918514263115230115e-05
2.546258522727272711e-01,5.592025605667051594e-05
2.546485227272727303e-01,5.278554837271830452e-05
2.546712073863636183e-01,4.970551582278851438e-05
2.546938778409090776e-01,4.663589758410108987e-05
2.547165482954545368e-01,4.358059902337192742e-05
2.547392329545454803e-01,4.053311119607452395e-05
2.547619034090908841e-01,3.748822694658772035e-05
2.547845738636363433e-01,3.446807668630155123e-05
2.548072585227272868e-01,3.147526399302656903e-05
2.548299289772727461e-01,2.850197813333104187e-05
2.548526136363636341e-01,2.559638529671089133e-05
2.548752840909090933e-01,2.270771571585956884e-05
2.548979545454545526e-01,1.987502305793597095e-05
2.549206392045454406e-01,1.704883934453886937e-05
2.549433096590908998e-01,1.416407513040343485e-05
2.549659801136363591e-01,1.117777138165494556e-05
2.549886647727272471e-01,7.935015218563186472e-06
2.550113352272727063e-01,4.593323098668958101e-06
2.550340198863636498e-01,1.163109333214601733e-06
2.550566903409091091e-01,-2.381661855905774482e-06
2.550793607954545683e-01,-5.917320522689073781e-06
2.551020454545454563e-01,-9.536293679411311696e-06
2.551247159090909156e-01,-1.317739724752359013e-05
2.551473863636363748e-01,-1.682761333797291224e-05
2.551700710227272628e-01,-2.051948667339172568e-05
2.551927414772727221e-01,-2.414366698573513540e-05
2.552154261363636101e-01,-2.773269899763557551e-05
2.552380965909090693e-01,-3.123711473069177707e-05
2.552607670454545286e-01,-3.461265336212368781e-05
2.552834517045454721e-01,-3.790227392580611428e-05
2.553061221590909313e-01,-4.101875656508419430e-05
2.553287926136363906e-01,-4.395819591324201113e-05
2.553514772727272786e-01,-4.669195261436315583e-05
2.553741477272727378e-01,-4.911067640040266390e-05
2.553968181818181971e-01,-5.118702970434945684e-05
2.554195028409090851e-01,-5.277391037990497694e-05
2.554421732954545443e-01,-5.374504490325560102e-05
2.554648579545454323e-01,-5.411735653017019104e-05
2.554875284090908916e-01,-5.392338998328112689e-05
2.555101988636363508e-01,-5.316705062930429144e-05
2.555328835227272943e-01,-5.184052773480789863e-05
2.555555539772727536e-01,-4.997766781132967909e-05
2.555782244318181573e-01,-4.755243508076366116e-05
2.556009090909091008e-01,-4.464554045523820390e-05
2.556235795454545601e-01,-4.138195566966170846e-05
2.556462642045454481e-01,-3.779813081338243762e-05
2.556689346590909073e-01,-3.392661060903283903e-05
2.556916051136363666e-01,-2.971271992259044399e-05
2.557142897727272546e-01,-2.509657646441163488e-05
2.557369602272727138e-01,-2.004042835624287268e-05
2.557596306818181731e-01,-1.467575627751901420e-05
2.557823153409091166e-01,-9.039010317588340858e-06
2.558049857954545203e-01,-3.121077954113768313e-06
2.558276704545454638e-01,2.951767289090981589e-06
2.558503409090909231e-01,9.245916646196032535e-06
2.558730113636363823e-01,1.567024489383065516e-05
2.558956960227272703e-01,2.219741446498363249e-05
2.559183664772727296e-01,2.882742535965498654e-05
2.559410369318181888e-01,3.544181478746278875e-05
2.559637215909090768e-01,4.205880779308118067e-05
2.559863920454545361e-01,4.858077020861296502e-05
2.560090767045454796e-01,5.494521616660398865e-05
2.560317471590908833e-01,6.111829915551651412e-05
2.560544176136363426e-01,6.700498858526398129e-05
