relative_velocity_m_s,force_n
-2.251918528790911589e-01,-1.696970129870129851e+00
-1.939395899797107803e-01,-1.689989610389610375e+00
-1.615526324778150669e-01,-1.694903896103896024e+00
-1.335179563200645236e-01,-1.729738961038961076e+00
-1.121493547748031450e-01,-1.754788311688311619e+00
-9.575400832063835077e-02,-1.766933766233766301e+00
-8.148459179003025854e-02,-1.772559740259740169e+00
-7.007411379736722123e-02,-1.775932467532467474e+00
-5.951004556540034907e-02,-1.777033766233766299e+00
-5.027946551170564549e-02,-1.777132467532467563e+00
-4.255247535574480100e-02,-1.777058441558441615e+00
-3.487877007576017929e-02,-1.775297402597402652e+00
-2.879063142578031087e-02,-1.774049350649350654e+00
-2.295798692471118230e-02,-1.771828571428571308e+00
-1.771967373260557865e-02,-1.769187012987012864e+00
-1.363449990777620968e-02,-1.767071428571428626e+00
-9.600561540616114886e-03,-1.764150649350649358e+00
-6.977306107949665659e-03,-1.762403896103896139e+00
-5.247597057035313650e-03,-1.761389610389610283e+00
-4.461303566670959952e-03,-1.761368831168831139e+00
-5.489428417234265556e-03,-1.763806493506493434e+00
-7.545678118360765740e-03,-1.767948051948051935e+00
-1.155912230245315087e-02,-1.775341558441558387e+00
-1.678104014810466449e-02,-1.785294805194805212e+00
-2.044061810456132555e-02,-1.794066233766233864e+00
-2.121666450339176890e-02,-1.799471428571428611e+00
-2.022201348517249642e-02,-1.802515584415584460e+00
-1.830170853172835566e-02,-1.804029870129870261e+00
-1.544686883039703140e-02,-1.803805194805194745e+00
-1.288168024975572257e-02,-1.803388311688311596e+00
-1.042101200275996620e-02,-1.802576623376623388e+00
-8.239064645484739380e-03,-1.801644155844155826e+00
-6.319442831476285161e-03,-1.800625974025974019e+00
-4.564457621445083824e-03,-1.799437662337662225e+00
-3.179050846068176561e-03,-1.798410389610389570e+00
-1.997902761932679461e-03,-1.797384415584415640e+00
-1.370097620625398971e-03,-1.796902597402597390e+00
-1.136463933653464320e-03,-1.796855844155844206e+00
-1.591434797756530184e-03,-1.797751948051947934e+00
-2.623658484933399926e-03,-1.799572727272727324e+00
-4.374544858351037124e-03,-1.802644155844155938e+00
-6.742989281542322022e-03,-1.806970129870129949e+00
-9.746070240396809137e-03,-1.812698701298701254e+00
-1.312965986487502068e-02,-1.819588311688311588e+00
-1.655355471605307605e-02,-1.827222077922078025e+00
-1.980461529002680576e-02,-1.835292207792207808e+00
-2.241830677059492016e-02,-1.843101298701298685e+00
-2.430787044943749642e-02,-1.850400000000000045e+00
-2.354070486326964584e-02,-1.854355844155844091e+00
-1.936125779632885680e-02,-1.853357142857142925e+00
-1.312214533108357895e-02,-1.848550649350649389e+00
-8.467233216971903342e-03,-1.844664935064935118e+00
-5.453905166583505881e-03,-1.842136363636363683e+00
-2.145460880020266803e-03,-1.838551948051948104e+00
-3.843274150687192581e-04,-1.836485714285714277e+00
1.433506623036817640e-03,-1.833848051948052005e+00
3.250657521706779018e-03,-1.830771428571428494e+00
4.009625434647445807e-03,-1.828887012987012950e+00
5.122459575223947681e-03,-1.826293506493506413e+00
5.362924656551582014e-03,-1.824767532467532538e+00
5.028186333112416584e-03,-1.824058441558441546e+00
4.663389874507317678e-03,-1.823470129870129908e+00
3.018390113606050917e-03,-1.824902597402597415e+00
1.071442722174020812e-03,-1.827164935064935047e+00
-2.020446363307282223e-03,-1.831432467532467578e+00
-6.935634602378670799e-03,-1.838881818181818062e+00
-1.346303190944309058e-02,-1.849627272727272675e+00
-2.404417862729968380e-02,-1.867320779220779325e+00
-3.950772289131937454e-02,-1.893248051948051902e+00
-6.278364974074857052e-02,-1.928646753246753276e+00
-9.447243873947108739e-02,-1.955675324675324678e+00
-1.301131893730829159e-01,-1.931942857142857184e+00
-1.619625161391691770e-01,-1.916655844155844113e+00
-1.932052150864513318e-01,-1.903350649350649348e+00
-2.239826960780965381e-01,-1.893583116883116979e+00
-2.526526919109459701e-01,-1.886096103896103937e+00
-2.822613213282963440e-01,-1.879636363636363550e+00
-3.069937014544038556e-01,-1.872623376623376634e+00
-3.271401665493943733e-01,-1.864948051948051910e+00
